Fiscal Year,County,Region,Removal Stage,Removals
2024,Duval,11-Edinburg,Family Preservation,0
2024,Duval,11-Edinburg,Investigation,11
2024,Eastland,2-Abilene,Family Preservation,11
2024,Eastland,2-Abilene,Investigation,23
2024,Ector,9-Midland,Family Preservation,20
2024,Ector,9-Midland,Investigation,51
2024,Edwards,8-San Antonio,Family Preservation,1
2024,Edwards,8-San Antonio,Investigation,0
2024,El Paso,10-El Paso,Family Preservation,37
2024,El Paso,10-El Paso,Investigation,71
2024,Ellis,3-Arlington,Family Preservation,9
2024,Ellis,3-Arlington,Investigation,35
2024,Erath,3-Arlington,Family Preservation,4
2024,Erath,3-Arlington,Investigation,11
2024,Falls,7-Austin,Family Preservation,9
2024,Falls,7-Austin,Investigation,25
2024,Fannin,3-Arlington,Family Preservation,0
2024,Fannin,3-Arlington,Investigation,12
2024,Fayette,7-Austin,Family Preservation,8
2024,Fayette,7-Austin,Investigation,6
2024,Fisher,2-Abilene,Family Preservation,5
2024,Fisher,2-Abilene,Investigation,0
2024,Floyd,1-Lubbock,Family Preservation,0
2024,Floyd,1-Lubbock,Investigation,4
2024,Fort Bend,6-Houston,Family Preservation,11
2024,Fort Bend,6-Houston,Investigation,13
2024,Franklin,4-Tyler,Family Preservation,1
2024,Franklin,4-Tyler,Investigation,2
2024,Freestone,7-Austin,Family Preservation,0
2024,Freestone,7-Austin,Investigation,15
2024,Frio,8-San Antonio,Family Preservation,8
2024,Frio,8-San Antonio,Investigation,10
2024,Gaines,9-Midland,Family Preservation,1
2024,Gaines,9-Midland,Investigation,2
2024,Galveston,6-Houston,Family Preservation,32
2024,Galveston,6-Houston,Investigation,67
2024,Garza,1-Lubbock,Family Preservation,0
2024,Garza,1-Lubbock,Investigation,4
2024,Gillespie,8-San Antonio,Family Preservation,3
2024,Gillespie,8-San Antonio,Investigation,3
2024,Gonzales,8-San Antonio,Family Preservation,6
2024,Gonzales,8-San Antonio,Investigation,14
2024,Gray,1-Lubbock,Family Preservation,3
2024,Gray,1-Lubbock,Investigation,8
2024,Grayson,3-Arlington,Family Preservation,5
2024,Grayson,3-Arlington,Investigation,26
2024,Gregg,4-Tyler,Family Preservation,20
2024,Gregg,4-Tyler,Investigation,58
2024,Grimes,7-Austin,Family Preservation,0
2024,Grimes,7-Austin,Investigation,6
2024,Guadalupe,8-San Antonio,Family Preservation,16
2024,Guadalupe,8-San Antonio,Investigation,17
2024,Hale,1-Lubbock,Family Preservation,9
2024,Hale,1-Lubbock,Investigation,22
2024,Hamilton,7-Austin,Family Preservation,0
2024,Hamilton,7-Austin,Investigation,4
2024,Hansford,1-Lubbock,Family Preservation,0
2024,Hansford,1-Lubbock,Investigation,2
2024,Hardeman,2-Abilene,Family Preservation,0
2024,Hardeman,2-Abilene,Investigation,5
2024,Hardin,5-Beaumont,Family Preservation,5
2024,Hardin,5-Beaumont,Investigation,7
2024,Harris,6-Houston,Family Preservation,73
2024,Harris,6-Houston,Investigation,487
2024,Harrison,4-Tyler,Family Preservation,1
2024,Harrison,4-Tyler,Investigation,17
2024,Hartley,1-Lubbock,Family Preservation,1
2024,Hartley,1-Lubbock,Investigation,0
2024,Haskell,2-Abilene,Family Preservation,1
2024,Haskell,2-Abilene,Investigation,2
2024,Hays,7-Austin,Family Preservation,10
2024,Hays,7-Austin,Investigation,37
2024,Hemphill,1-Lubbock,Family Preservation,4
2024,Hemphill,1-Lubbock,Investigation,2
2024,Henderson,4-Tyler,Family Preservation,14
2024,Henderson,4-Tyler,Investigation,35
2024,Hidalgo,11-Edinburg,Family Preservation,68
2024,Hidalgo,11-Edinburg,Investigation,97
2024,Hill,7-Austin,Family Preservation,2
2024,Hill,7-Austin,Investigation,37
2024,Hockley,1-Lubbock,Family Preservation,3
2024,Hockley,1-Lubbock,Investigation,6
2024,Hood,3-Arlington,Family Preservation,6
2024,Hood,3-Arlington,Investigation,20
2024,Hopkins,4-Tyler,Family Preservation,10
2024,Hopkins,4-Tyler,Investigation,14
2024,Houston,5-Beaumont,Family Preservation,4
2024,Houston,5-Beaumont,Investigation,11
2024,Howard,9-Midland,Family Preservation,4
2024,Howard,9-Midland,Investigation,11
2024,Hunt,3-Arlington,Family Preservation,24
2024,Hunt,3-Arlington,Investigation,33
2024,Hutchinson,1-Lubbock,Family Preservation,1
2024,Hutchinson,1-Lubbock,Investigation,12
2024,Jack,2-Abilene,Family Preservation,1
2024,Jack,2-Abilene,Investigation,4
2024,Jackson,8-San Antonio,Family Preservation,1
2024,Jackson,8-San Antonio,Investigation,0
2024,Jasper,5-Beaumont,Family Preservation,1
2024,Jasper,5-Beaumont,Investigation,7
2024,Jefferson,5-Beaumont,Family Preservation,22
2024,Jefferson,5-Beaumont,Investigation,135
2024,Jim Hogg,11-Edinburg,Family Preservation,2
2024,Jim Hogg,11-Edinburg,Investigation,3
2024,Jim Wells,11-Edinburg,Family Preservation,24
2024,Jim Wells,11-Edinburg,Investigation,32
2024,Johnson,3-Arlington,Family Preservation,13
2024,Johnson,3-Arlington,Investigation,59
2024,Jones,2-Abilene,Family Preservation,2
2024,Jones,2-Abilene,Investigation,1
2024,Karnes,8-San Antonio,Family Preservation,4
2024,Karnes,8-San Antonio,Investigation,0
2024,Kaufman,3-Arlington,Family Preservation,10
2024,Kaufman,3-Arlington,Investigation,28
2024,Kendall,8-San Antonio,Family Preservation,3
2024,Kendall,8-San Antonio,Investigation,5
2024,Kent,2-Abilene,Family Preservation,2
2024,Kent,2-Abilene,Investigation,0
2024,Kerr,8-San Antonio,Family Preservation,14
2024,Kerr,8-San Antonio,Investigation,18
2024,Kimble,9-Midland,Family Preservation,6
2024,Kimble,9-Midland,Investigation,2
2024,Kleberg,11-Edinburg,Family Preservation,27
2024,Kleberg,11-Edinburg,Investigation,13
2024,Knox,2-Abilene,Family Preservation,0
2024,Knox,2-Abilene,Investigation,3
2024,La Salle,8-San Antonio,Family Preservation,5
2024,La Salle,8-San Antonio,Investigation,0
2024,Lamar,4-Tyler,Family Preservation,21
2024,Lamar,4-Tyler,Investigation,19
2024,Lamb,1-Lubbock,Family Preservation,0
2024,Lamb,1-Lubbock,Investigation,4
2024,Lampasas,7-Austin,Family Preservation,0
2024,Lampasas,7-Austin,Investigation,12
2024,Lavaca,8-San Antonio,Family Preservation,6
2024,Lavaca,8-San Antonio,Investigation,1
2024,Lee,7-Austin,Family Preservation,0
2024,Lee,7-Austin,Investigation,3
2024,Leon,7-Austin,Family Preservation,0
2024,Leon,7-Austin,Investigation,4
2024,Liberty,6-Houston,Family Preservation,0
2024,Liberty,6-Houston,Investigation,20
2024,Limestone,7-Austin,Family Preservation,1
2024,Limestone,7-Austin,Investigation,14
2024,Live Oak,11-Edinburg,Family Preservation,2
2024,Live Oak,11-Edinburg,Investigation,4
2024,Llano,7-Austin,Family Preservation,0
2024,Llano,7-Austin,Investigation,13
2024,Lubbock,1-Lubbock,Family Preservation,54
2024,Lubbock,1-Lubbock,Investigation,178
2024,Lynn,1-Lubbock,Family Preservation,2
2024,Lynn,1-Lubbock,Investigation,3
2024,Madison,7-Austin,Family Preservation,0
2024,Madison,7-Austin,Investigation,5
2024,Marion,4-Tyler,Family Preservation,0
2024,Marion,4-Tyler,Investigation,5
2024,Matagorda,6-Houston,Family Preservation,8
2024,Matagorda,6-Houston,Investigation,15
2024,Maverick,8-San Antonio,Family Preservation,6
2024,Maverick,8-San Antonio,Investigation,8
2024,McCulloch,9-Midland,Family Preservation,4
2024,McCulloch,9-Midland,Investigation,5
2024,McLennan,7-Austin,Family Preservation,26
2024,McLennan,7-Austin,Investigation,147
2024,Medina,8-San Antonio,Family Preservation,9
2024,Medina,8-San Antonio,Investigation,11
2024,Midland,9-Midland,Family Preservation,2
2024,Midland,9-Midland,Investigation,12
2024,Milam,7-Austin,Family Preservation,2
2024,Milam,7-Austin,Investigation,17
2024,Mills,7-Austin,Family Preservation,0
2024,Mills,7-Austin,Investigation,1
2024,Mitchell,2-Abilene,Family Preservation,2
2024,Mitchell,2-Abilene,Investigation,2
2024,Montague,2-Abilene,Family Preservation,0
2024,Montague,2-Abilene,Investigation,11
2024,Montgomery,6-Houston,Family Preservation,14
2024,Montgomery,6-Houston,Investigation,76
2024,Moore,1-Lubbock,Family Preservation,2
2024,Moore,1-Lubbock,Investigation,10
2024,Morris,4-Tyler,Family Preservation,3
2024,Morris,4-Tyler,Investigation,7
2024,Motley,1-Lubbock,Family Preservation,0
2024,Motley,1-Lubbock,Investigation,4
2024,Nacogdoches,5-Beaumont,Family Preservation,2
2024,Nacogdoches,5-Beaumont,Investigation,29
2024,Navarro,3-Arlington,Family Preservation,6
2024,Navarro,3-Arlington,Investigation,12
2024,Newton,5-Beaumont,Family Preservation,0
2024,Newton,5-Beaumont,Investigation,8
2024,Nolan,2-Abilene,Family Preservation,12
2024,Nolan,2-Abilene,Investigation,14
2024,Nueces,11-Edinburg,Family Preservation,35
2024,Nueces,11-Edinburg,Investigation,229
2024,Ochiltree,1-Lubbock,Family Preservation,0
2024,Ochiltree,1-Lubbock,Investigation,2
2024,Oldham,1-Lubbock,Family Preservation,0
2024,Oldham,1-Lubbock,Investigation,2
2024,Orange,5-Beaumont,Family Preservation,10
2024,Orange,5-Beaumont,Investigation,29
2024,Palo Pinto,3-Arlington,Family Preservation,6
2024,Palo Pinto,3-Arlington,Investigation,2
2024,Panola,4-Tyler,Family Preservation,2
2024,Panola,4-Tyler,Investigation,12
2024,Parker,3-Arlington,Family Preservation,13
2024,Parker,3-Arlington,Investigation,31
2024,Parmer,1-Lubbock,Family Preservation,0
2024,Parmer,1-Lubbock,Investigation,2
2024,Pecos,9-Midland,Family Preservation,0
2024,Pecos,9-Midland,Investigation,14
2024,Polk,5-Beaumont,Family Preservation,3
2024,Polk,5-Beaumont,Investigation,5
2024,Potter,1-Lubbock,Family Preservation,18
2024,Potter,1-Lubbock,Investigation,68
2024,Presidio,10-El Paso,Family Preservation,0
2024,Presidio,10-El Paso,Investigation,1
2024,Rains,4-Tyler,Family Preservation,0
2024,Rains,4-Tyler,Investigation,2
2024,Randall,1-Lubbock,Family Preservation,21
2024,Randall,1-Lubbock,Investigation,45
2024,Reagan,9-Midland,Family Preservation,0
2024,Reagan,9-Midland,Investigation,2
2024,Red River,4-Tyler,Family Preservation,5
2024,Red River,4-Tyler,Investigation,5
2024,Reeves,9-Midland,Family Preservation,0
2024,Reeves,9-Midland,Investigation,9
2024,Robertson,7-Austin,Family Preservation,1
2024,Robertson,7-Austin,Investigation,23
2024,Rockwall,3-Arlington,Family Preservation,1
2024,Rockwall,3-Arlington,Investigation,15
2024,Runnels,2-Abilene,Family Preservation,3
2024,Runnels,2-Abilene,Investigation,0
2024,Rusk,4-Tyler,Family Preservation,5
2024,Rusk,4-Tyler,Investigation,14
2024,Sabine,5-Beaumont,Family Preservation,0
2024,Sabine,5-Beaumont,Investigation,4
2024,San Augustine,5-Beaumont,Family Preservation,2
2024,San Augustine,5-Beaumont,Investigation,2
2024,San Jacinto,5-Beaumont,Family Preservation,0
2024,San Jacinto,5-Beaumont,Investigation,2
2024,San Patricio,11-Edinburg,Family Preservation,27
2024,San Patricio,11-Edinburg,Investigation,23
2024,San Saba,7-Austin,Family Preservation,0
2024,San Saba,7-Austin,Investigation,4
2024,Scurry,2-Abilene,Family Preservation,0
2024,Scurry,2-Abilene,Investigation,12
2024,Shackelford,2-Abilene,Family Preservation,2
2024,Shackelford,2-Abilene,Investigation,0
2024,Shelby,5-Beaumont,Family Preservation,7
2024,Shelby,5-Beaumont,Investigation,18
2024,Smith,4-Tyler,Family Preservation,29
2024,Smith,4-Tyler,Investigation,93
2024,Somervell,3-Arlington,Family Preservation,4
2024,Somervell,3-Arlington,Investigation,3
2024,Starr,11-Edinburg,Family Preservation,4
2024,Starr,11-Edinburg,Investigation,5
2024,Stephens,2-Abilene,Family Preservation,1
2024,Stephens,2-Abilene,Investigation,3
2024,Swisher,1-Lubbock,Family Preservation,9
2024,Swisher,1-Lubbock,Investigation,1
2024,Tarrant,3-Arlington,Family Preservation,112
2024,Tarrant,3-Arlington,Investigation,534
2024,Taylor,2-Abilene,Family Preservation,139
2024,Taylor,2-Abilene,Investigation,142
2024,Terry,1-Lubbock,Family Preservation,3
2024,Terry,1-Lubbock,Investigation,3
2024,Titus,4-Tyler,Family Preservation,3
2024,Titus,4-Tyler,Investigation,10
2024,Tom Green,9-Midland,Family Preservation,16
2024,Tom Green,9-Midland,Investigation,25
2024,Travis,7-Austin,Family Preservation,82
2024,Travis,7-Austin,Investigation,188
2024,Trinity,5-Beaumont,Family Preservation,3
2024,Trinity,5-Beaumont,Investigation,1
2024,Tyler,5-Beaumont,Family Preservation,8
2024,Tyler,5-Beaumont,Investigation,1
2024,Unknown,Unknown,Family Preservation,0
2024,Unknown,Unknown,Investigation,2
2024,Upshur,4-Tyler,Family Preservation,5
2024,Upshur,4-Tyler,Investigation,8
2024,Upton,9-Midland,Family Preservation,1
2024,Upton,9-Midland,Investigation,0
2024,Uvalde,8-San Antonio,Family Preservation,0
2024,Uvalde,8-San Antonio,Investigation,2
2024,Val Verde,8-San Antonio,Family Preservation,3
2024,Val Verde,8-San Antonio,Investigation,2
2024,Van Zandt,4-Tyler,Family Preservation,9
2024,Van Zandt,4-Tyler,Investigation,26
2024,Victoria,8-San Antonio,Family Preservation,13
2024,Victoria,8-San Antonio,Investigation,19
2024,Walker,6-Houston,Family Preservation,0
2024,Walker,6-Houston,Investigation,13
2024,Waller,6-Houston,Family Preservation,2
2024,Waller,6-Houston,Investigation,6
2024,Ward,9-Midland,Family Preservation,4
2024,Ward,9-Midland,Investigation,7
2024,Washington,7-Austin,Family Preservation,2
2024,Washington,7-Austin,Investigation,9
2024,Webb,11-Edinburg,Family Preservation,37
2024,Webb,11-Edinburg,Investigation,77
2024,Wharton,6-Houston,Family Preservation,11
2024,Wharton,6-Houston,Investigation,17
2024,Wheeler,1-Lubbock,Family Preservation,2
2024,Wheeler,1-Lubbock,Investigation,0
2024,Wichita,2-Abilene,Family Preservation,18
2024,Wichita,2-Abilene,Investigation,105
2024,Wilbarger,2-Abilene,Family Preservation,1
2024,Wilbarger,2-Abilene,Investigation,9
2024,Willacy,11-Edinburg,Family Preservation,9
2024,Willacy,11-Edinburg,Investigation,5
2024,Williamson,7-Austin,Family Preservation,21
2024,Williamson,7-Austin,Investigation,48
2024,Wilson,8-San Antonio,Family Preservation,0
2024,Wilson,8-San Antonio,Investigation,6
2024,Winkler,9-Midland,Family Preservation,2
2024,Winkler,9-Midland,Investigation,7
2024,Wise,3-Arlington,Family Preservation,6
2024,Wise,3-Arlington,Investigation,28
2024,Wood,4-Tyler,Family Preservation,14
2024,Wood,4-Tyler,Investigation,18
2024,Yoakum,1-Lubbock,Family Preservation,0
2024,Yoakum,1-Lubbock,Investigation,2
2024,Young,2-Abilene,Family Preservation,1
2024,Young,2-Abilene,Investigation,9
2024,Zapata,11-Edinburg,Family Preservation,0
2024,Zapata,11-Edinburg,Investigation,2
2024,Zavala,8-San Antonio,Family Preservation,6
2024,Zavala,8-San Antonio,Investigation,9
2023,Anderson,4-Tyler,Family Preservation,0
2023,Anderson,4-Tyler,Investigation,9
2023,Andrews,9-Midland,Family Preservation,2
2023,Andrews,9-Midland,Investigation,3
2023,Angelina,5-Beaumont,Family Preservation,25
2023,Angelina,5-Beaumont,Investigation,58
2023,Aransas,11-Edinburg,Family Preservation,6
2023,Aransas,11-Edinburg,Investigation,15
2023,Archer,2-Abilene,Family Preservation,1
2023,Archer,2-Abilene,Investigation,3
2023,Armstrong,1-Lubbock,Family Preservation,0
2023,Armstrong,1-Lubbock,Investigation,2
2023,Atascosa,8-San Antonio,Family Preservation,19
2023,Atascosa,8-San Antonio,Investigation,11
2023,Austin,6-Houston,Family Preservation,0
2023,Austin,6-Houston,Investigation,1
2023,Bailey,1-Lubbock,Family Preservation,0
2023,Bailey,1-Lubbock,Investigation,1
2023,Bandera,8-San Antonio,Family Preservation,4
2023,Bandera,8-San Antonio,Investigation,5
2023,Bastrop,7-Austin,Family Preservation,2
2023,Bastrop,7-Austin,Investigation,45
2023,Baylor,2-Abilene,Family Preservation,2
2023,Baylor,2-Abilene,Investigation,7
2023,Bee,11-Edinburg,Family Preservation,6
2023,Bee,11-Edinburg,Investigation,27
2023,Bell,7-Austin,Family Preservation,48
2023,Bell,7-Austin,Investigation,428
2023,Bexar,8-San Antonio,Family Preservation,252
2023,Bexar,8-San Antonio,Investigation,733
2023,Blanco,7-Austin,Family Preservation,0
2023,Blanco,7-Austin,Investigation,5
2023,Bosque,7-Austin,Family Preservation,0
2023,Bosque,7-Austin,Investigation,20
2023,Bowie,4-Tyler,Family Preservation,10
2023,Bowie,4-Tyler,Investigation,43
2023,Brazoria,6-Houston,Family Preservation,13
2023,Brazoria,6-Houston,Investigation,39
2023,Brazos,7-Austin,Family Preservation,21
2023,Brazos,7-Austin,Investigation,60
2023,Briscoe,1-Lubbock,Family Preservation,0
2023,Briscoe,1-Lubbock,Investigation,2
2023,Brooks,11-Edinburg,Family Preservation,0
2023,Brooks,11-Edinburg,Investigation,1
2023,Brown,2-Abilene,Family Preservation,6
2023,Brown,2-Abilene,Investigation,15
2023,Burleson,7-Austin,Family Preservation,0
2023,Burleson,7-Austin,Investigation,6
2023,Burnet,7-Austin,Family Preservation,5
2023,Burnet,7-Austin,Investigation,44
2023,Caldwell,7-Austin,Family Preservation,3
2023,Caldwell,7-Austin,Investigation,19
2023,Calhoun,8-San Antonio,Family Preservation,1
2023,Calhoun,8-San Antonio,Investigation,3
2023,Callahan,2-Abilene,Family Preservation,8
2023,Callahan,2-Abilene,Investigation,11
2023,Cameron,11-Edinburg,Family Preservation,75
2023,Cameron,11-Edinburg,Investigation,42
2023,Camp,4-Tyler,Family Preservation,2
2023,Camp,4-Tyler,Investigation,7
2023,Cass,4-Tyler,Family Preservation,8
2023,Cass,4-Tyler,Investigation,15
2023,Castro,1-Lubbock,Family Preservation,0
2023,Castro,1-Lubbock,Investigation,1
2023,Chambers,6-Houston,Family Preservation,0
2023,Chambers,6-Houston,Investigation,5
2023,Cherokee,4-Tyler,Family Preservation,8
2023,Cherokee,4-Tyler,Investigation,47
2023,Childress,1-Lubbock,Family Preservation,1
2023,Childress,1-Lubbock,Investigation,7
2023,Clay,2-Abilene,Family Preservation,0
2023,Clay,2-Abilene,Investigation,1
2023,Coleman,2-Abilene,Family Preservation,3
2023,Coleman,2-Abilene,Investigation,6
2023,Collin,3-Arlington,Family Preservation,20
2023,Collin,3-Arlington,Investigation,100
2023,Comal,8-San Antonio,Family Preservation,30
2023,Comal,8-San Antonio,Investigation,37
2023,Comanche,2-Abilene,Family Preservation,14
2023,Comanche,2-Abilene,Investigation,21
2023,Cooke,3-Arlington,Family Preservation,5
2023,Cooke,3-Arlington,Investigation,14
2023,Coryell,7-Austin,Family Preservation,17
2023,Coryell,7-Austin,Investigation,59
2023,Cottle,2-Abilene,Family Preservation,2
2023,Cottle,2-Abilene,Investigation,0
2023,Crockett,9-Midland,Family Preservation,0
2023,Crockett,9-Midland,Investigation,4
2023,Crosby,1-Lubbock,Family Preservation,1
2023,Crosby,1-Lubbock,Investigation,0
2023,Culberson,10-El Paso,Family Preservation,0
2023,Culberson,10-El Paso,Investigation,7
2023,Dallam,1-Lubbock,Family Preservation,4
2023,Dallam,1-Lubbock,Investigation,11
2023,Dallas,3-Arlington,Family Preservation,61
2023,Dallas,3-Arlington,Investigation,665
2023,Dawson,9-Midland,Family Preservation,6
2023,Dawson,9-Midland,Investigation,1
2023,DeWitt,8-San Antonio,Family Preservation,4
2023,DeWitt,8-San Antonio,Investigation,7
2023,Deaf Smith,1-Lubbock,Family Preservation,0
2023,Deaf Smith,1-Lubbock,Investigation,11
2023,Delta,4-Tyler,Family Preservation,0
2023,Delta,4-Tyler,Investigation,2
2023,Denton,3-Arlington,Family Preservation,41
2023,Denton,3-Arlington,Investigation,142
2023,Dimmit,8-San Antonio,Family Preservation,0
2023,Dimmit,8-San Antonio,Investigation,5
2023,Duval,11-Edinburg,Family Preservation,9
2023,Duval,11-Edinburg,Investigation,4
2023,Eastland,2-Abilene,Family Preservation,4
2023,Eastland,2-Abilene,Investigation,10
2023,Ector,9-Midland,Family Preservation,60
2023,Ector,9-Midland,Investigation,54
2023,El Paso,10-El Paso,Family Preservation,20
2023,El Paso,10-El Paso,Investigation,101
2023,Ellis,3-Arlington,Family Preservation,9
2023,Ellis,3-Arlington,Investigation,29
2023,Erath,3-Arlington,Family Preservation,0
2023,Erath,3-Arlington,Investigation,8
2023,Falls,7-Austin,Family Preservation,4
2023,Falls,7-Austin,Investigation,6
2023,Fannin,3-Arlington,Family Preservation,0
2023,Fannin,3-Arlington,Investigation,9
2023,Fayette,7-Austin,Family Preservation,0
2023,Fayette,7-Austin,Investigation,3
2023,Fisher,2-Abilene,Family Preservation,1
2023,Fisher,2-Abilene,Investigation,0
2023,Fort Bend,6-Houston,Family Preservation,6
2023,Fort Bend,6-Houston,Investigation,44
2023,Franklin,4-Tyler,Family Preservation,0
2023,Franklin,4-Tyler,Investigation,2
2023,Freestone,7-Austin,Family Preservation,0
2023,Freestone,7-Austin,Investigation,12
2023,Frio,8-San Antonio,Family Preservation,3
2023,Frio,8-San Antonio,Investigation,15
2023,Gaines,9-Midland,Family Preservation,3
2023,Gaines,9-Midland,Investigation,1
2023,Galveston,6-Houston,Family Preservation,22
2023,Galveston,6-Houston,Investigation,49
2023,Gillespie,8-San Antonio,Family Preservation,11
2023,Gillespie,8-San Antonio,Investigation,3
2023,Goliad,8-San Antonio,Family Preservation,0
2023,Goliad,8-San Antonio,Investigation,5
2023,Gonzales,8-San Antonio,Family Preservation,0
2023,Gonzales,8-San Antonio,Investigation,8
2023,Gray,1-Lubbock,Family Preservation,0
2023,Gray,1-Lubbock,Investigation,10
2023,Grayson,3-Arlington,Family Preservation,8
2023,Grayson,3-Arlington,Investigation,39
2023,Gregg,4-Tyler,Family Preservation,8
2023,Gregg,4-Tyler,Investigation,74
2023,Grimes,7-Austin,Family Preservation,0
2023,Grimes,7-Austin,Investigation,5
2023,Guadalupe,8-San Antonio,Family Preservation,13
2023,Guadalupe,8-San Antonio,Investigation,24
2023,Hale,1-Lubbock,Family Preservation,0
2023,Hale,1-Lubbock,Investigation,7
2023,Hall,1-Lubbock,Family Preservation,1
2023,Hall,1-Lubbock,Investigation,9
2023,Hamilton,7-Austin,Family Preservation,1
2023,Hamilton,7-Austin,Investigation,1
2023,Hardin,5-Beaumont,Family Preservation,4
2023,Hardin,5-Beaumont,Investigation,32
2023,Harris,6-Houston,Family Preservation,66
2023,Harris,6-Houston,Investigation,692
2023,Harrison,4-Tyler,Family Preservation,3
2023,Harrison,4-Tyler,Investigation,35
2023,Hartley,1-Lubbock,Family Preservation,1
2023,Hartley,1-Lubbock,Investigation,0
